AS47558,Kajeh Nasir Toosi University of Technology
AS47575,Ivane Javakhishvili Tbilisi State University
AS47610,RWTH Aachen University
AS47643,Khallagh Borhan Market Development for Creative Industries Co
AS47701,BEIRUT ARAB UNIVERSITY(BAU)
AS47799,National I.I. Mechnikov University of Odessa
AS47862,Khalifa University
AS48062,INVERS GmbH
AS48155,"University of Ruse ""Angel Kanchev"""
AS48379,I.M.Gubkin Russian State University of Oil and Gas
AS48429,Ural State University of Economics
AS48665,Bukovinian State Medical University
AS48898,Medical Science University Of Kashan
AS4901,The George Washington University
AS49339,GOU VPO Yugra State University
AS49521,"Federal State Budgetary Educational Institution of Higher Education ""Ural State Law University named after V.F. Yakovlev"""
AS50433,"State educational institution of higher professional education ""Tomsk State Pedagogical University"""
AS50517,King Saud University
AS50595,Hochschule RheinMain
AS50602,Khalifa University
AS50811,NEW YORK UNIVERSITY ABU DHABI - ABU DHABI Foreign Branch-USA
AS5090,ARKANSAS TECH UNIVERSITY
AS50934,Belarussian National Technical University
AS50999,King Abdullah University of Science and Technology
AS51182,The United Arab Emirates University
AS51352,State Educational Institution of higher professional Education 'Vladimir State University'
AS51539,The American University of Iraq-Sulaimani
AS51586,ServerZone s.r.o.
AS51652,National University of Life and Environmental Sciences of Ukraine
AS51702,University of Zagreb University Computing Centre
AS51946,University of Newcastle upon Tyne
AS51955,Institute of Mathematics and Computer Science of University of Latvia
AS52,"University of California, Los Angeles"
AS52146,Federal State Autonomous Educational Institution of High Education National Research Nuclear University MEPhI
AS52216,The American University in Dubai
AS53355,Concordia University Wisconsin
AS53384,University of North Carolina at Charlotte
AS53403,Mount Royal University
AS53450,University of Arkansas at Monticello
AS53568,Franklin University
AS53604,University of Arkansas at Pine Bluff
AS53695,Southern Illinois University at Edwardsville
AS53701,Trinity Washington University
AS53748,University Medical Center of Southern Nevada
AS53750,Neumann University
AS53785,University of North Carolina at Greensboro
AS53809,Texas Tech University Health Sciences Center at El Paso
AS53843,"SOUTHEASTERN UNIVERSITY, INC."
AS54025,Capella University
AS54032,Seattle Pacific University
